Year,produced,cumFailed,recycled,operational,cumInstalled
2012-01-01,0,0,0,89.1289076220583,89.1289076220583
2013-01-01,32.578152441166154,0,0,121.70706006322446,121.70706006322446
2014-01-01,51.545486476993304,0,2.1010632730303667,173.25254654021776,173.25254654021776
2015-01-01,51.54548647699335,0,8.005422683662694,224.7980330172111,224.7980330172111
2016-01-01,63.57569371268002,0.8300266314230846,16.105100000000007,287.54370009846804,288.37372672989113
2017-01-01,102.82753775904462,12.872110953916092,17.71561000000001,378.32915353501966,391.20126448893575
2018-01-01,114.41868633649455,35.26925764521799,19.48717100000001,470.35069318021226,505.6199508254303
2019-01-01,113.62838075166843,65.24024351789994,21.435888100000014,554.0080880591988,619.2483315770987
2020-01-01,131.01510361784324,100.50645752033157,23.579476910000018,649.7569776746104,750.263435194942
2021-01-01,179.92623814541628,145.41659862409182,25.937424601000025,784.7730747162664,930.1896733403582
2022-01-01,231.20828942746766,209.8832259248717,28.531167061100025,951.5147368429542,1161.397962767826
2023-01-01,266.63203723217407,297.75876050083207,31.38428376721003,1130.271239499168,1428.03
2024-01-01,328.4468999999999,406.88613835406096,34.52271214393104,1349.590761645939,1756.4769
2025-01-01,403.989687,548.3573736811506,37.974983358324145,1612.1092133188492,2160.466587
2026-01-01,496.9073150099998,730.651947031057,41.77248169415656,1926.7219549789427,2657.3739020099997
2027-01-01,611.1959974623,964.5759337745826,45.949729863572216,2303.9939656977176,3268.5698994722998
2028-01-01,751.7710768786292,1263.6892509761417,50.54470284992945,2756.651725374787,4020.340976350929
2029-01-01,924.6784245607132,1644.9894328574403,55.599173134922395,3300.0299680542016,4945.019400911642
2030-01-01,1137.354462209677,2129.762196525484,61.159090448414645,3952.6116665958352,6082.373863121319
2031-01-01,669.0611249433459,2744.6389616443253,67.2749994932561,4006.79602642034,6751.434988064665
2032-01-01,742.6578486871131,3167.7615870658615,74.00249944258172,4326.331249685917,7494.092836751778
2033-01-01,824.3502120426956,3646.3649174315683,81.4027493868399,4672.078131362905,8318.443048794474
2034-01-01,915.0287353673939,4187.18791050853,89.5430243255239,5046.283873653338,9233.471784161868
2035-01-01,1015.6818962578072,4797.758581212118,98.4973267580763,5451.395099207557,10249.153680419675
2036-01-01,1127.4069048461643,5486.48430679727,108.34705943388394,5890.076278468569,11376.56058526584
2037-01-01,1251.4216643792442,6262.752326516478,119.18176537727234,6365.229923128605,12627.982249645083
2038-01-01,1389.0780474609583,7137.041576490675,131.0999419149996,6880.018720615367,14017.060297106042
2039-01-01,1541.8766326816676,8121.0471274645715,144.20993610649955,7437.889802323138,15558.93692978771
2040-01-01,1711.4830622766494,9227.818634113257,158.6309297171495,8042.601357951101,17270.41999206436
2041-01-01,1899.746199127083,10471.914361187695,174.49402268886448,8698.251830003746,19170.16619119144
2042-01-01,2108.7182810310587,11869.572525760668,191.94342495775095,9409.311946461832,21278.8844722225
2043-01-01,2340.6772919444775,13438.901888080163,211.13776745352607,10180.659876086815,23619.561764166978
2044-01-01,2598.151794058369,15200.093738183781,232.2515441988787,11017.619820041566,26217.713558225347
2045-01-01,2883.94849140479,17175.657663841197,255.4766986187666,11926.004385788938,29101.662049630137
2046-01-01,3201.1828254593165,19390.68375019698,281.02436848064326,12912.161124892473,32302.844875089453
2047-01-01,3553.3129362598484,21873.134155600186,309.12680532870763,13983.023655749117,35856.1578113493
2048-01-01,3944.177359248424,24654.16733476658,340.0394858615784,15146.167835831146,39800.335170597726
2049-01-01,4378.036868765754,27768.498543219048,374.04343444773633,16409.87349614443,44178.37203936348
2050-01-01,4859.620924329982,31254.800659883356,411.44777789251,17783.192303810105,49037.99296369346
