Year,produced,cumFailed,recycled,operational,cumInstalled
2012-01-01,0,0,0,89.1289076220583,89.1289076220583
2013-01-01,32.578152441166154,0,0,121.70706006322446,121.70706006322446
2014-01-01,51.545486476993304,0,2.1010632730303667,173.25254654021776,173.25254654021776
2015-01-01,51.54548647699335,0,8.005422683662694,224.7980330172111,224.7980330172111
2016-01-01,63.57569371268002,0,16.935126631423092,288.37372672989113,288.37372672989113
2017-01-01,102.82753775904462,0,30.5877209539161,391.20126448893575,391.20126448893575
2018-01-01,114.41868633649455,0,54.756428645218,505.6199508254303,505.6199508254303
2019-01-01,113.62838075166843,0,86.67613161789996,619.2483315770987,619.2483315770987
2020-01-01,131.01510361784324,0,124.08593443033158,750.263435194942,750.263435194942
2021-01-01,179.92623814541628,0,171.35402322509185,930.1896733403582,930.1896733403582
2022-01-01,231.20828942746766,0,238.41439298597174,1161.397962767826,1161.397962767826
2023-01-01,266.63203723217407,0,329.1430442680421,1428.03,1428.03
2024-01-01,328.4468999999999,0.7182029124347196,440.69064758555726,1755.758697087565,1756.4769
2025-01-01,403.989687,75.1312058402284,511.2011511992464,2085.3353811597717,2160.466587
2026-01-01,496.9073150099998,179.4310933340878,592.9933353911258,2477.9428086759117,2657.3739020099997
2027-01-01,611.1959974623,322.65339458444896,687.8722690537058,2945.9165048878513,3268.5698994722998
2028-01-01,751.7710768786292,516.3021217237724,797.9318321022988,3504.0388546271565,4020.340976350929
2029-01-01,924.6784245607132,774.9876807536963,925.6009252386665,4170.0317201579455,4945.019400911642
2030-01-01,1137.354462209677,1117.2242136970456,1073.697073276853,4965.149649424274,6082.373863121319
2031-01-01,669.0611249433459,1566.425356136432,1245.4886050011494,5185.009631928233,6751.434988064665
2032-01-01,742.6578486871131,1796.9973047071098,1444.7667818013333,5697.095532044668,7494.092836751778
2033-01-01,824.3502120426956,2051.8381999288613,1675.9294668895466,6266.6048488656115,8318.443048794474
2034-01-01,915.0287353673939,2332.6527532421806,1944.0781815918738,6900.819030919687,9233.471784161868
2035-01-01,1015.6818962578072,2641.1252173236207,2255.1306906465734,7608.028463096054,10249.153680419675
2036-01-01,1127.4069048461643,2978.879765081129,2615.951601150025,8397.68082018471,11376.56058526584
2037-01-01,1251.4216643792442,3347.4302345597216,3034.503857334029,9280.552015085363,12627.982249645083
2038-01-01,1389.0780474609583,3748.117043898201,3520.0244745074733,10268.94325320784,14017.060297106042
2039-01-01,1541.8766326816676,4182.028673142402,4083.2283904286687,11376.908256645307,15558.93692978771
2040-01-01,1711.4830622766494,4649.904630933152,4736.544932897255,12620.515361131207,17270.41999206436
2041-01-01,1899.746199127083,5152.016261715744,5494.392122160816,14018.149929475698,19170.16619119144
2042-01-01,2108.7182810310587,5688.021089011874,6373.494861706546,15590.863383210626,21278.8844722225
2043-01-01,2340.6772919444775,6256.785615954096,7393.254039579592,17362.77614821288,23619.561764166978
2044-01-01,2598.151794058369,6856.170596470332,8576.174685912327,19361.542961755014,26217.713558225347
2045-01-01,2883.94849140479,7482.771726801666,9948.362635658299,21618.89032282847,29101.662049630137
2046-01-01,3201.1828254593165,8131.607461313997,11540.100657363626,24171.237413775456,32302.844875089453
2047-01-01,3553.3129362598484,8795.744198387087,13386.516762541805,27060.413612962213,35856.1578113493
2048-01-01,3944.177359248424,9465.847376079666,15528.359444548492,30334.48779451806,39800.335170597726
2049-01-01,4378.036868765754,10129.645021990535,18012.89695567625,34048.72701737295,44178.37203936348
2050-01-01,4859.620924329982,10771.287969191417,20894.96046858445,38266.70499450204,49037.99296369346
