Year,produced,cumFailed,recycled,operational,cumInstalled
2012-01-01,0,0,0,89.1289076220583,89.1289076220583
2013-01-01,32.578152441166154,0,0,121.70706006322446,121.70706006322446
2014-01-01,51.545486476993304,0,1.4805642739476192,173.25254654021776,173.25254654021776
2015-01-01,51.54548647699335,0,5.669034747461222,224.7980330172111,224.7980330172111
2016-01-01,63.57569371268002,0,12.051175013711475,288.37372672989113,288.37372672989113
2017-01-01,102.82753775904462,0,21.871750690418622,391.20126448893575,391.20126448893575
2018-01-01,114.41868633649455,0,39.34109356508411,505.6199508254303,505.6199508254303
2019-01-01,113.62838075166843,0,62.56985406788212,619.2483315770987,619.2483315770987
2020-01-01,131.01510361784324,5.58051689869221,84.41521850475458,744.6829182962497,750.263435194942
2021-01-01,179.92623814541628,31.15438468739626,93.7008925402776,899.035288652962,930.1896733403582
2022-01-01,231.20828942746766,70.50902961302953,104.00799071970815,1090.8889331547964,1161.397962767826
2023-01-01,266.63203723217407,126.57725858883194,115.44886969887605,1301.452741411168,1428.03
2024-01-01,328.4468999999999,197.8914113864896,128.14824536575242,1558.5854886135103,1756.4769
2025-01-01,403.989687,292.770891713129,142.2445523559852,1867.695695286871,2160.466587
2026-01-01,496.9073150099998,417.7179565843037,157.89145311514358,2239.6559454256962,2657.3739020099997
2027-01-01,611.1959974623,581.0681662621527,175.2595129578094,2687.501733210147,3268.5698994722998
2028-01-01,751.7710768786292,793.3456711538611,194.53805938316847,3226.9953051970674,4020.340976350929
2029-01-01,924.6784245607132,1067.8194141129025,215.937245915317,3877.1999867987397,4945.019400911642
2030-01-01,1137.354462209677,1421.197710284025,239.6903429660019,4661.176152837294,6082.373863121319
2031-01-01,669.0611249433459,1874.4951168207172,266.0562806922621,4876.939871243948,6751.434988064665
2032-01-01,742.6578486871131,2182.641857885156,295.32247156841095,5311.450978866623,7494.092836751778
2033-01-01,824.3502120426956,2533.288658940506,327.80794344093624,5785.1543898539685,8318.443048794474
2034-01-01,915.0287353673939,2931.818594957258,363.8668172194392,6301.65318920461,9233.471784161868
2035-01-01,1015.6818962578072,3384.2671322473007,403.8921671135776,6864.886548172374,10249.153680419675
2036-01-01,1127.4069048461643,3897.3989719804604,448.32030549607117,7479.161613285379,11376.56058526584
2037-01-01,1251.4216643792442,4478.793775934343,497.63553910063905,8149.18847371074,12627.982249645083
2038-01-01,1389.0780474609583,5136.941787799178,552.3754484017094,8880.118509306865,14017.060297106042
2039-01-01,1541.8766326816676,5881.350477889631,613.1367477258975,9677.586451898078,15558.93692978771
2040-01-01,1711.4830622766494,6722.663466503086,680.5817899757463,10547.756525561272,17270.41999206436
2041-01-01,1899.746199127083,7672.793122844776,755.4457868730784,11497.373068346666,19170.16619119144
2042-01-01,2108.7182810310587,8745.068394010577,838.5448234291171,12533.816078211923,21278.8844722225
2043-01-01,2340.6772919444775,9954.399593751617,930.7847540063201,13665.16217041536,23619.561764166978
2044-01-01,2598.151794058369,11317.462075611998,1033.1710769470153,14900.251482613348,26217.713558225347
2045-01-01,2883.94849140479,12852.900931722068,1146.8198954111872,16248.761117908069,29101.662049630137
2046-01-01,3201.1828254593165,14581.559099477676,1272.970083906418,17721.285775611774,32302.844875089453
2047-01-01,3553.3129362598484,16526.73152624556,1412.996793136124,19329.426285103742,35856.1578113493
2048-01-01,3944.177359248424,18714.448340109393,1568.4264403810978,21085.886830488333,39800.335170597726
2049-01-01,4378.036868765754,21173.79030584971,1740.9533488230186,23004.58173351377,44178.37203936348
2050-01-01,4859.620924329982,23937.240213541223,1932.4582171935508,25100.752750152238,49037.99296369346
