Year,produced,cumFailed,recycled,operational,cumInstalled
2012-01-01,0,0,0,89.1289076220583,89.1289076220583
2013-01-01,32.578152441166154,0,0,121.70706006322446,121.70706006322446
2014-01-01,51.545486476993304,0,2.1010632730303667,173.25254654021776,173.25254654021776
2015-01-01,51.54548647699335,0,8.005422683662694,224.7980330172111,224.7980330172111
2016-01-01,63.57569371268002,0,16.935126631423092,288.37372672989113,288.37372672989113
2017-01-01,102.82753775904462,0,30.5877209539161,391.20126448893575,391.20126448893575
2018-01-01,114.41868633649455,0,54.756428645218,505.6199508254303,505.6199508254303
2019-01-01,113.62838075166843,0,86.67613161789996,619.2483315770987,619.2483315770987
2020-01-01,131.01510361784324,0,124.08593443033158,750.263435194942,750.263435194942
2021-01-01,179.92623814541628,0,171.35402322509185,930.1896733403582,930.1896733403582
2022-01-01,231.20828942746766,0,238.41439298597174,1161.397962767826,1161.397962767826
2023-01-01,266.63203723217407,0,329.1430442680421,1428.03,1428.03
2024-01-01,328.4468999999999,0,441.408850497992,1756.4769,1756.4769
2025-01-01,403.989687,0,586.3323570394748,2160.466587,2160.466587
2026-01-01,496.9073150099998,0,772.4244287252136,2657.3739020099997,2657.3739020099997
2027-01-01,611.1959974623,0,1010.5256636381548,3268.5698994722998,3268.5698994722998
2028-01-01,751.7710768786292,0,1314.2339538260712,4020.340976350929,4020.340976350929
2029-01-01,924.6784245607132,0,1700.5886059923628,4945.019400911642,4945.019400911642
2030-01-01,1137.354462209677,0,2190.9212869738985,6082.373863121319,6082.373863121319
2031-01-01,669.0611249433459,0,2811.9139611375813,6751.434988064665,6751.434988064665
2032-01-01,742.6578486871131,0,3241.764086508443,7494.092836751778,7494.092836751778
2033-01-01,824.3502120426956,0,3727.767666818408,8318.443048794474,8318.443048794474
2034-01-01,915.0287353673939,0,4276.730934834054,9233.471784161868,9233.471784161868
2035-01-01,1015.6818962578072,0,4896.255907970194,10249.153680419675,10249.153680419675
2036-01-01,1127.4069048461643,0,5594.831366231154,11376.56058526584,11376.56058526584
2037-01-01,1251.4216643792442,0,6381.9340918937505,12627.982249645083,12627.982249645083
2038-01-01,1389.0780474609583,0,7268.141518405674,14017.060297106042,14017.060297106042
2039-01-01,1541.8766326816676,0,8265.25706357107,15558.93692978771,15558.93692978771
2040-01-01,1711.4830622766494,0,9386.449563830407,17270.41999206436,17270.41999206436
2041-01-01,1899.746199127083,0,10646.40838387656,19170.16619119144,19170.16619119144
2042-01-01,2108.7182810310587,0,12061.51595071842,21278.8844722225,21278.8844722225
2043-01-01,2340.6772919444775,0,13650.039655533688,23619.561764166978,23619.561764166978
2044-01-01,2598.151794058369,0,15432.34528238266,26217.713558225347,26217.713558225347
2045-01-01,2883.94849140479,0,17431.134362459965,29101.662049630137,29101.662049630137
2046-01-01,3201.1828254593165,0,19671.708118677623,32302.844875089453,32302.844875089453
2047-01-01,3553.3129362598484,0,22182.260960928892,35856.1578113493,35856.1578113493
2048-01-01,3944.177359248424,0,24994.20682062816,39800.335170597726,39800.335170597726
2049-01-01,4378.036868765754,0,28142.541977666784,44178.37203936348,44178.37203936348
2050-01-01,4859.620924329982,0,31666.248437775866,49037.99296369346,49037.99296369346
