Year,produced,cumFailed,recycled,operational,cumInstalled
2012-01-01,0,0,0,89.1289076220583,89.1289076220583
2013-01-01,32.578152441166154,0,0,121.70706006322446,121.70706006322446
2014-01-01,51.545486476993304,0,2.504727387649995,173.25254654021776,173.25254654021776
2015-01-01,51.54548647699335,0,9.512664350629006,224.7980330172111,224.7980330172111
2016-01-01,63.57569371268002,0,20.05952283519525,288.37372672989113,288.37372672989113
2017-01-01,102.82753775904462,0,36.116958312790594,391.20126448893575,391.20126448893575
2018-01-01,114.41868633649455,0,64.45382489735302,505.6199508254303,505.6199508254303
2019-01-01,113.62838075166843,0,101.71388428832931,619.2483315770987,619.2483315770987
2020-01-01,131.01510361784324,36.580739597531945,108.59297511849614,713.6826955974101,750.263435194942
2021-01-01,179.92623814541628,85.8539954627065,114.02262387442094,844.3356778776517,930.1896733403582
2022-01-01,231.20828942746766,157.55711945509705,119.723755068142,1003.8408433127288,1161.397962767826
2023-01-01,246.952037232174,255.9787876099368,125.7099428215491,1152.371212390063,1408.35
2024-01-01,323.92049999999995,370.91355033149006,131.99543996262656,1361.3569496685097,1732.2704999999999
2025-01-01,398.4222149999998,527.664940524032,138.5952119607579,1603.0277744759678,2130.6927149999997
2026-01-01,490.0593244500001,729.8790836191697,145.5249725587958,1890.87295583083,2620.7520394499998
2027-01-01,602.7729690735,989.4376776892302,152.80122118673557,2234.08733083427,3223.5250085234998
2028-01-01,741.4107519604049,1321.2115006999682,160.44128224607238,2643.7242597839363,3964.9357604839047
2029-01-01,911.9352249112976,1743.793895716661,168.463346358376,3133.0770896785416,4876.870985395202
2030-01-01,1121.680326640897,2280.411306786289,176.88651367629484,3718.14000524981,5998.551312036099
2031-01-01,719.8261574443322,2960.0531034893097,185.73083936010954,3758.324365991122,6718.3774694804315
2032-01-01,806.2052963376527,3455.517791354854,195.01738132811505,4069.06497446323,7524.582765818084
2033-01-01,902.9499318981707,4020.7219307469295,204.7682503945208,4406.810766969325,8427.532697716255
2034-01-01,1011.3039237259527,4664.769724347946,215.00666291424687,4774.066897094262,9438.836621442208
2035-01-01,1132.660394573064,5397.9141652281,225.7569960599592,5173.582850787172,10571.497016015272
2036-01-01,1268.579641921835,6231.699085654102,237.0448458629572,5608.377572283004,11840.076657937107
2037-01-01,1420.8091989524528,7179.118570538225,248.89708815610504,6081.767286351334,13260.88585688956
2038-01-01,1591.3063028267497,8254.795843361893,261.3419425639103,6597.396316354417,14852.19215971631
2039-01-01,1782.263059165958,9475.183987177714,274.40903969210586,7159.271231704553,16634.455218882267
2040-01-01,1996.1346262658735,10858.791148774344,288.1294916767112,7771.798696373797,18630.58984514814
2041-01-01,2235.670781417779,12426.433193976476,302.53596626054673,8439.827432589444,20866.26062656592
2042-01-01,2503.9512751879156,14201.517140486974,317.66276457357407,9168.694761266861,23370.211901753835
2043-01-01,2804.425428210463,16210.359096298569,333.5459028022528,9964.27823366573,26174.6373299643
2044-01-01,3140.956479595716,18482.540881702775,350.2231979423654,10833.052927857238,29315.593809560014
2045-01-01,3517.871257147206,21051.310017124953,367.7343578394837,11782.155049582267,32833.46506670722
2046-01-01,3940.0158080048714,23954.028323934494,386.12107573145795,12819.452550777598,36773.48087471209
2047-01-01,4412.817704965448,27232.6750183223,405.4271295180308,13953.62356135524,41186.29857967754
2048-01-01,4942.355829561318,30934.41088748257,425.6984859939324,15194.243521756289,46128.65440923886
2049-01-01,5535.438529108658,35112.21093184753,446.98341029362905,16551.88200649999,51664.092938347516
2050-01-01,6199.691152601714,39825.57374726458,469.3325808083105,18038.210343684652,57863.78409094923
