Year,produced,cumFailed,recycled,operational,cumInstalled
2012-01-01,0,0,0,89.1289076220583,89.1289076220583
2013-01-01,32.578152441166154,0,0,121.70706006322446,121.70706006322446
2014-01-01,51.545486476993304,0,2.1010632730303667,173.25254654021776,173.25254654021776
2015-01-01,51.54548647699335,0,8.005422683662694,224.7980330172111,224.7980330172111
2016-01-01,63.57569371268002,0,16.935126631423092,288.37372672989113,288.37372672989113
2017-01-01,102.82753775904462,0,30.5877209539161,391.20126448893575,391.20126448893575
2018-01-01,114.41868633649455,0,54.756428645218,505.6199508254303,505.6199508254303
2019-01-01,113.62838075166843,0,86.67613161789996,619.2483315770987,619.2483315770987
2020-01-01,131.01510361784324,0,124.08593443033158,750.263435194942,750.263435194942
2021-01-01,179.92623814541628,0,171.35402322509185,930.1896733403582,930.1896733403582
2022-01-01,231.20828942746766,36.70192613562867,201.71246685034308,1124.6960366321973,1161.397962767826
2023-01-01,266.63203723217407,105.24220606416128,223.90083820388082,1322.7877939358386,1428.03
2024-01-01,328.4468999999999,192.87892009168425,248.52993040630773,1563.5979799083157,1756.4769
2025-01-01,403.989687,310.4641342884732,275.8682227510016,1850.0024527115268,2160.466587
2026-01-01,496.9073150099998,466.2107014716018,306.2137272536118,2191.163200538398,2657.3739020099997
2027-01-01,611.1959974623,670.6284263866457,339.8972372515091,2597.9414730856543,3268.5698994722998
2028-01-01,751.7710768786292,936.9480204768961,377.2859333491752,3083.392955874033,4020.340976350929
2029-01-01,924.6784245607132,1281.8012199747782,418.7873860175845,3663.218180936864,4945.019400911642
2030-01-01,1137.354462209677,1726.0672884943797,464.85399847951885,4356.306574626939,6082.373863121319
2031-01-01,669.0611249433459,2295.926022825315,515.9879383122659,4455.50896523935,6751.434988064665
2032-01-01,742.6578486871131,2669.017474981828,572.7466115266152,4825.07536176995,7494.092836751778
2033-01-01,824.3502120426956,3092.018928023865,635.748738794543,5226.424120770608,8318.443048794474
2034-01-01,915.0287353673939,3571.0498347721114,705.6811000619427,5662.421949389756,9233.471784161868
2035-01-01,1015.6818962578072,4112.949886901438,783.3060210687565,6136.203793518237,10249.153680419675
2036-01-01,1127.4069048461643,4725.361682844834,869.4696833863198,6651.198902421005,11376.56058526584
2037-01-01,1251.4216643792442,5416.822743334936,965.1113485588152,7211.159506310148,12627.982249645083
2038-01-01,1389.0780474609583,6196.867921505389,1071.273596900285,7820.192375600653,14017.060297106042
2039-01-01,1541.8766326816676,7076.143371011754,1189.1136925593164,8482.793558775955,15558.93692978771
2040-01-01,1711.4830622766494,8066.533365089565,1319.9161987408413,9203.886626974792,17270.41999206436
2041-01-01,1899.746199127083,9181.301403274227,1465.1069806023338,9988.864787917215,19170.16619119144
2042-01-01,2108.7182810310587,10435.24720224983,1626.2687484685907,10843.63726997267,21278.8844722225
2043-01-01,2340.6772919444775,11844.881344733552,1805.158310800136,11774.680419433425,23619.561764166978
2044-01-01,2598.151794058369,13428.619557394508,2003.7257249881511,12789.094000830839,26217.713558225347
2045-01-01,2883.94849140479,15206.998807723117,2224.135554736848,13894.66324190702,29101.662049630137
2046-01-01,3201.1828254593165,17202.91765291972,2468.7904657579015,15099.927222169732,32302.844875089453
2047-01-01,3553.3129362598484,19441.90354393762,2740.357416991271,16414.25426741168,35856.1578113493
2048-01-01,3944.177359248424,21952.410087767847,3041.796732860311,17847.92508282988,39800.335170597726
2049-01-01,4378.036868765754,24766.14760419184,3376.394373474945,19412.22443517164,44178.37203936348
2050-01-01,4859.620924329982,27918.450683218678,3747.7977545571894,21119.542280474783,49037.99296369346
