Year,produced,cumFailed,recycled,operational,cumInstalled
2012-01-01,0,0,0,89.1289076220583,89.1289076220583
2013-01-01,32.578152441166154,0,0,121.70706006322446,121.70706006322446
2014-01-01,51.545486476993304,0,0.6931257508488706,173.25254654021776,173.25254654021776
2015-01-01,51.54548647699335,0,2.670363830008231,224.7980330172111,224.7980330172111
2016-01-01,63.57569371268002,0,5.711522299798258,288.37372672989113,288.37372672989113
2017-01-01,102.82753775904462,0,10.429219657810446,391.20126448893575,391.20126448893575
2018-01-01,114.41868633649455,0,18.873180949406528,505.6199508254303,505.6199508254303
2019-01-01,113.62838075166843,0,30.198046919098083,619.2483315770987,619.2483315770987
2020-01-01,131.01510361784324,0,43.6953595211961,750.263435194942,750.263435194942
2021-01-01,179.92623814541628,0,60.9824132919681,930.1896733403582,930.1896733403582
2022-01-01,231.20828942746766,0,85.7441425554085,1161.397962767826,1161.397962767826
2023-01-01,266.63203723217407,0,119.6141493593949,1428.0300000000002,1428.03
2024-01-01,328.4468999999999,0,162.07985232497126,1756.4769,1756.4769
2025-01-01,403.989687,0,217.5135250936139,2160.466587,2160.466587
2026-01-01,496.9073150099998,35.89582005909031,253.5832428818973,2621.478081950909,2657.3739020099997
2027-01-01,611.1959974623,101.07564225594899,281.477399598906,3167.494257216351,3268.5698994722998
2028-01-01,751.7710768786292,190.09311914162907,312.43991355478573,3830.2478572092996,4020.340976350929
2029-01-01,924.6784245607132,309.94663361503814,346.8083040458121,4635.072767296604,4945.019400911642
2030-01-01,1137.354462209677,469.534013189877,384.9572174908516,5612.839849931443,6082.373863121319
2031-01-01,669.0611249433459,680.147914929825,427.3025114148452,6071.28707313484,6751.434988064665
2032-01-01,742.6578486871131,814.8632378517589,474.3057876704782,6679.229598900019,7494.092836751778
2033-01-01,824.3502120426956,970.2673211174725,526.4794243142309,7348.175727677001,8318.443048794474
2034-01-01,915.0287353673939,1149.2017429717228,584.3921609887964,8084.270041190145,9233.471784161868
2035-01-01,1015.6818962578072,1354.876286942254,648.675298697564,8894.277393477421,10249.153680419675
2036-01-01,1127.4069048461643,1590.9149023038988,720.0295815542961,9785.64568296194,11376.56058526584
2037-01-01,1251.4216643792442,1861.4072557798586,799.2328355252688,10766.574993865224,12627.982249645083
2038-01-01,1389.0780474609583,2170.966542072334,887.1484474330484,11846.093755033708,14017.060297106042
2039-01-01,1541.8766326816676,2524.79429940711,984.7347766506839,13034.1426303806,15558.93692978771
2040-01-01,1711.4830622766494,2928.7530640203045,1093.0556020822592,14341.666928044055,17270.41999206436
2041-01-01,1899.746199127083,3389.4477954666354,1213.2917183113077,15780.718395724807,19170.16619119144
2042-01-01,2108.7182810310587,3914.317113964682,1346.7538073255516,17364.56735825782,21278.8844722225
2043-01-01,2340.6772919444775,4511.73551302768,1494.8967261313626,19107.826251139297,23619.561764166978
2044-01-01,2598.151794058369,5191.127846821265,1659.3353660058126,21026.58571140408,26217.713558225347
2045-01-01,2883.94849140479,5963.097543671445,1841.8622562664523,23138.564505958693,29101.662049630137
2046-01-01,3201.1828254593165,6839.570166733834,2044.4671044557622,25463.274708355617,32302.844875089453
2047-01-01,3553.3129362598484,7833.954132051601,2269.358485945896,28022.2036792977,35856.1578113493
2048-01-01,3944.177359248424,8961.320605330318,2518.987919399945,30839.014565267407,39800.335170597726
2049-01-01,4378.036868765754,10238.604834254733,2796.076590533939,33939.76720510874,44178.37203936348
2050-01-01,4859.620924329982,11684.831435864322,3103.6450154926724,37353.16152782914,49037.99296369346
