Year,produced,cumFailed,recycled,operational,cumInstalled
2012-01-01,0,0,0,89.1289076220583,89.1289076220583
2013-01-01,32.578152441166154,0,0,121.70706006322446,121.70706006322446
2014-01-01,51.545486476993304,0,2.1010632730303667,173.25254654021776,173.25254654021776
2015-01-01,51.54548647699335,0,8.005422683662694,224.7980330172111,224.7980330172111
2016-01-01,63.57569371268002,0,16.935126631423092,288.37372672989113,288.37372672989113
2017-01-01,102.82753775904462,0,30.5877209539161,391.20126448893575,391.20126448893575
2018-01-01,114.41868633649455,0,54.756428645218,505.6199508254303,505.6199508254303
2019-01-01,113.62838075166843,0,86.67613161789996,619.2483315770987,619.2483315770987
2020-01-01,131.01510361784324,18.549645672733988,105.53628875759759,731.713789522208,750.263435194942
2021-01-01,179.92623814541628,49.987291153854656,121.3667320712372,880.2023821865035,930.1896733403582
2022-01-01,231.20828942746766,98.84265110404897,139.57174188192278,1062.555311663777,1161.397962767826
2023-01-01,266.63203723217407,168.63554110383092,160.5075031642112,1259.394458896169,1428.03
2024-01-01,328.4468999999999,256.8252218591491,184.58362863884284,1499.6516781408507,1756.4769
2025-01-01,403.989687,374.06118410480553,212.27117293466927,1786.4054028951944,2160.466587
2026-01-01,496.9073150099998,528.3125798503439,244.11184887486965,2129.061322159656,2657.3739020099997
2027-01-01,611.1959974623,729.7970374320548,280.72862620610005,2538.7728620402454,3268.5698994722998
2028-01-01,751.7710768786292,991.3960336890561,322.83792013701503,3028.9449426618726,4020.340976350929
2029-01-01,924.6784245607132,1329.3249978347956,371.26360815756726,3615.694403076847,4945.019400911642
2030-01-01,1137.354462209677,1763.9681375926962,426.9531493812023,4318.4057255286225,6082.373863121319
2031-01-01,669.0611249433459,2320.9178393491984,490.99612178838265,4430.517148715467,6751.434988064665
2032-01-01,742.6578486871131,2677.118546451803,564.6455400566399,4816.974290299975,7494.092836751778
2033-01-01,824.3502120426956,3078.425295753272,649.3423710651359,5240.017753041201,8318.443048794474
2034-01-01,915.0287353673939,3529.987208109148,746.7437267249062,5703.48457605272,9233.471784161868
2035-01-01,1015.6818962578072,4037.500622236552,858.7552857336422,6211.653058183123,10249.153680419675
2036-01-01,1127.4069048461643,4607.262787637465,987.5685785936885,6769.297797628374,11376.56058526584
2037-01-01,1251.4216643792442,5246.230226511008,1135.7038653827417,7381.752023134075,12627.982249645083
2038-01-01,1389.0780474609583,5962.082073215522,1306.0594451901527,8054.97822389052,14017.060297106042
2039-01-01,1541.8766326816676,6763.288701602395,1501.9683619686755,8795.648228185313,15558.93692978771
2040-01-01,1711.4830622766494,7659.1859475664305,1727.2636162639767,9611.234044497929,17270.41999206436
2041-01-01,1899.746199127083,8660.055225172988,1986.353158703573,10510.110966018454,19170.16619119144
2042-01-01,2108.7182810310587,9777.20981820931,2284.3061325091085,11501.67465401319,21278.8844722225
2043-01-01,2340.6772919444775,11023.087603148213,2626.952052385475,12596.474161018765,23619.561764166978
2044-01-01,2598.151794058369,12411.350422139363,3020.994860243296,13806.363136085984,26217.713558225347
2045-01-01,2883.94849140479,13956.990273180174,3474.14408927979,15144.671776449963,29101.662049630137
2046-01-01,3201.1828254593165,15676.442416005866,3995.265702671758,16626.402459083587,32302.844875089453
2047-01-01,3553.3129362598484,17587.70540285637,4594.555558072522,18268.452408492933,35856.1578113493
2048-01-01,3944.177359248424,19710.46792884476,5283.7388917834,20089.867241752967,39800.335170597726
2049-01-01,4378.036868765754,22066.242252115873,6076.299725550909,22112.129787247606,44178.37203936348
2050-01-01,4859.620924329982,24678.503753392324,6987.744684383544,24359.489210301137,49037.99296369346
