Year,produced,cumFailed,recycled,operational,cumInstalled
2012-01-01,0,0,0,89.1289076220583,89.1289076220583
2013-01-01,32.578152441166154,0,0,121.70706006322446,121.70706006322446
2014-01-01,51.545486476993304,0,2.1010632730303667,173.25254654021776,173.25254654021776
2015-01-01,51.54548647699335,0,8.005422683662694,224.7980330172111,224.7980330172111
2016-01-01,63.57569371268002,0,16.935126631423092,288.37372672989113,288.37372672989113
2017-01-01,102.82753775904462,0,30.5877209539161,391.20126448893575,391.20126448893575
2018-01-01,114.41868633649455,0,54.756428645218,505.6199508254303,505.6199508254303
2019-01-01,113.62838075166843,22.368467317899913,64.30766430000004,596.8798642591988,619.2483315770987
2020-01-01,131.01510361784324,53.347503700331515,70.73843073000006,696.9159314946105,750.263435194942
2021-01-01,179.92623814541628,93.54174942209178,77.81227380300007,836.6479239182664,930.1896733403582
2022-01-01,231.20828942746766,152.82089180267167,85.59350118330008,1008.5770709651542,1161.397962767826
2023-01-01,266.63203723217407,234.990192966412,94.1528513016301,1193.039807033588,1428.03
2024-01-01,328.4468999999999,337.84071406619887,103.5681364317931,1418.636185933801,1756.4769
2025-01-01,403.989687,472.40740696450234,113.92495007497243,1688.0591800354975,2160.466587
2026-01-01,496.9073150099998,647.1069836427439,125.31744508246969,2010.2669183672558,2657.3739020099997
2027-01-01,611.1959974623,872.6764740474382,137.84918959071666,2395.893425424862,3268.5698994722998
2028-01-01,751.7710768786292,1162.5998452762828,151.63410854978835,2857.741131074646,4020.340976350929
2029-01-01,924.6784245607132,1533.7910865875956,166.7975194047672,3411.2283143240466,4945.019400911642
2030-01-01,1137.354462209677,2007.4440156286546,183.47727134524393,4074.9298474926645,6082.373863121319
2031-01-01,669.0611249433459,2610.0889626578128,201.82499847976834,4141.346025406852,6751.434988064665
2032-01-01,742.6578486871131,3019.756588180698,222.00749832774517,4474.33624857108,7494.092836751778
2033-01-01,824.3502120426956,3483.5594186578883,244.20824816051973,4834.8836301365845,8318.443048794474
2034-01-01,915.0287353673939,4008.1018618574826,268.6290729765717,5225.369922304385,9233.471784161868
2035-01-01,1015.6818962578072,4600.763927695965,295.4919802742289,5648.3897527237095,10249.153680419675
2036-01-01,1127.4069048461643,5269.790187929502,325.0411783016518,6106.770397336337,11376.56058526584
2037-01-01,1251.4216643792442,6024.388795761934,357.54529613181705,6603.59345388315,12627.982249645083
2038-01-01,1389.0780474609583,6874.841692660675,393.29982574499877,7142.2186044453665,14017.060297106042
2039-01-01,1541.8766326816676,7832.627255251572,432.6298083194987,7726.309674536137,15558.93692978771
2040-01-01,1711.4830622766494,8910.556774678958,475.89278915144854,8359.8632173854,17270.41999206436
2041-01-01,1899.746199127083,10122.926315809967,523.4820680665935,9047.239875381474,19170.16619119144
2042-01-01,2108.7182810310587,11485.685675845167,575.8302748732528,9793.198796377334,21278.8844722225
2043-01-01,2340.6772919444775,13016.62635317311,633.4133023605782,10602.935410993869,23619.561764166978
2044-01-01,2598.151794058369,14735.590649786023,696.754632596636,11482.122908439324,26217.713558225347
2045-01-01,2883.94849140479,16664.704266603665,766.4300958562998,12436.957783026472,29101.662049630137
2046-01-01,3201.1828254593165,18828.635013235693,843.0731054419299,13474.20986185376,32302.844875089453
2047-01-01,3553.3129362598484,21254.880544942767,927.3804159861229,14601.277266406532,35856.1578113493
2048-01-01,3944.177359248424,23974.088363043422,1020.1184575847352,15826.246807554302,39800.335170597726
2049-01-01,4378.036868765754,27020.411674323575,1122.1303033432089,17157.960365039904,44178.37203936348
2050-01-01,4859.620924329982,30431.905104098336,1234.34333367753,18606.087859595125,49037.99296369346
