Year,produced,cumFailed,recycled,operational,cumInstalled
2012-01-01,0,0,0,89.1289076220583,89.1289076220583
2013-01-01,32.578152441166154,0,0,121.70706006322446,121.70706006322446
2014-01-01,51.545486476993304,0,2.504727387649995,173.25254654021776,173.25254654021776
2015-01-01,51.54548647699335,0,9.512664350629006,224.7980330172111,224.7980330172111
2016-01-01,63.57569371268002,0,20.05952283519525,288.37372672989113,288.37372672989113
2017-01-01,102.82753775904462,0,36.116958312790594,391.20126448893575,391.20126448893575
2018-01-01,114.41868633649455,0,64.45382489735302,505.6199508254303,505.6199508254303
2019-01-01,113.62838075166843,1.246914110673032,100.46697017765628,618.0014174664258,619.2483315770987
2020-01-01,131.01510361784324,39.68339602948899,105.4903186865391,710.5800391654531,750.263435194942
2021-01-01,179.92623814541628,89.11178471626138,110.76483462086605,841.0778886240969,930.1896733403582
2022-01-01,231.20828942746766,160.97779817132968,116.30307635190937,1000.4201645964962,1161.397962767826
2023-01-01,246.952037232174,259.57050026198107,122.11823016950484,1148.7794997380188,1408.35
2024-01-01,323.92049999999995,374.6848486161365,128.2241416779801,1357.5856513838633,1732.2704999999999
2025-01-01,398.4222149999998,531.6248037229108,134.6353487618791,1599.067911277089,2130.6927149999997
2026-01-01,490.0593244500001,734.0369399779923,141.36711619997308,1886.7150994720073,2620.7520394499998
2027-01-01,602.7729690735,993.8034268659941,148.4354720099717,2229.721581657506,3223.5250085234998
2028-01-01,741.4107519604049,1325.7955373355703,155.85724561047033,2639.1402231483344,3964.9357604839047
2029-01-01,911.9352249112976,1748.607134184043,163.65010789099384,3128.2638512111594,4876.870985395202
2030-01-01,1121.680326640897,2285.46520717704,171.83261328554354,3713.086104859059,5998.551312036099
2031-01-01,719.8261574443322,2965.3596988995987,180.42424394982072,3753.017770580833,6718.3774694804315
2032-01-01,806.2052963376527,3461.0897165356573,189.44545614731177,4063.493049282427,7524.582765818084
2033-01-01,902.9499318981707,4026.572452186773,198.91772895467736,4400.960245529482,8427.532697716255
2034-01-01,1011.3039237259527,4670.912771859781,208.86361540241123,4767.923849582427,9438.836621442208
2035-01-01,1132.660394573064,5404.364365115527,219.3067961725318,5167.1326508997445,10571.497016015272
2036-01-01,1268.579641921835,6238.471795535901,230.2721359811584,5601.6048624012055,11840.076657937107
2037-01-01,1420.8091989524528,7186.229915914114,241.78574278021634,6074.655940975445,13260.88585688956
2038-01-01,1591.3063028267497,8262.262756006576,253.87502991922716,6589.929403709733,14852.19215971631
2039-01-01,1782.263059165958,9483.024245454631,266.56878141518854,7151.430973427637,16634.455218882267
2040-01-01,1996.1346262658735,10867.023419965108,279.897220485948,7763.566425183034,18630.58984514814
2041-01-01,2235.670781417779,12435.077078726777,293.8920815102454,8431.183547839142,20866.26062656592
2042-01-01,2503.9512751879156,14210.59321947479,308.58668558575766,9159.618682279046,23370.211901753835
2043-01-01,2804.425428210463,16219.888979235777,324.01601986504556,9954.748350728521,26174.6373299643
2044-01-01,3140.956479595716,18492.547258786843,340.21682085829787,10823.04655077317,29315.593809560014
2045-01-01,3517.871257147206,21061.816713063225,357.22766190121274,11771.648353643996,32833.46506670722
2046-01-01,3940.0158080048714,23965.06035466968,375.08904499627346,12808.420520042413,36773.48087471209
2047-01-01,4412.817704965448,27244.258650594245,393.8434972460871,13942.039929083296,41186.29857967754
2048-01-01,4942.355829561318,30946.57370136811,413.53567210839145,15182.080707870748,46128.65440923886
2049-01-01,5535.438529108658,35124.98188642735,434.2124557138111,16539.111051920172,51664.092938347516
2050-01-01,6199.691152601714,39838.983249573386,455.9230784995016,18024.800841375843,57863.78409094923
